susceptible, exposedN, exposedV, asymptomaticN, asymptomaticV, infectedN, infectedV, quarantined, asymptomatic_total, infected_total, indectious_total0.00,0
1,0,0,0,0,0,0,0,1,,,
2,0,0,0,0,0,0,0,1,,,
3,0,0,0,0,0,0,0,1,,,
4,0,0,0,1,0,1,0,1,,,
5,0,0,0,1,0,1,0,1,,,
6,0,0,0,1,0,1,0,1,,,
7,0,0,0,1,1,1,0,1,,,
8,0,0,0,1,1,1,0,2,,,
9,0,0,0,1,1,1,0,2,,,
10,0,0,0,2,1,2,0,2,,,
11,0,0,0,2,1,2,0,3,,,
12,0,0,0,2,1,2,0,3,,,
13,0,0,0,3,2,3,1,4,,,
14,0,0,0,4,2,4,1,5,,,
15,0,0,0,5,3,5,1,6,,,
16,0,0,0,6,3,6,1,7,,,
17,0,0,0,7,4,7,1,9,,,
18,0,0,0,8,5,8,2,11,,,
19,0,0,0,10,6,10,2,13,,,
20,0,0,0,12,7,12,2,16,,,
21,0,0,0,15,9,15,3,20,,,
22,0,0,0,18,11,18,4,24,,,
23,0,0,0,22,13,22,4,30,,,
24,0,0,0,27,16,27,5,36,,,
25,0,0,0,34,20,34,7,44,,,
26,0,0,0,41,25,41,8,54,,,
27,0,0,0,50,30,50,10,66,,,
28,0,0,0,61,37,61,12,81,,,
29,0,0,0,75,45,75,15,99,,,
30,0,0,0,91,55,91,18,120,,,
31,0,0,0,111,67,111,22,147,,,
32,0,0,0,135,81,135,27,179,,,
33,0,0,0,165,99,165,33,219,,,
34,0,0,0,201,121,201,40,267,,,
35,0,0,0,245,147,245,49,325,,,
36,0,0,0,299,179,299,60,397,,,
37,0,0,0,363,218,363,73,483,,,
38,0,0,0,441,265,441,88,589,,,
39,0,0,0,536,321,536,107,717,,,
40,0,0,0,650,390,650,130,871,,,
41,0,0,0,786,472,786,157,1058,,,
42,0,0,0,950,570,950,190,1284,,,
43,0,0,0,1144,687,1144,229,1556,,,
44,0,0,0,1375,825,1375,275,1882,,,
45,0,0,0,1646,988,1646,329,2271,,,
46,0,0,0,1963,1178,1963,393,2733,,,
47,0,0,0,2328,1397,2328,466,3280,,,
48,0,0,0,2746,1647,2746,549,3921,,,
49,0,0,0,3215,1929,3215,643,4667,,,
50,0,0,0,3732,2239,3732,746,5526,,,
51,0,0,0,4292,2575,4292,858,6504,,,
52,0,0,0,4879,2927,4879,976,7599,,,
53,0,0,0,5476,3286,5476,1095,8806,,,
54,0,0,0,6058,3635,6058,1212,10109,,,
55,0,0,0,6594,3956,6594,1319,11481,,,
56,0,0,0,7053,4232,7053,1411,12886,,,
57,0,0,0,7403,4442,7403,1481,14275,,,
58,0,0,0,7619,4572,7619,1524,15595,,,
59,0,0,0,7687,4612,7687,1537,16786,,,
60,0,0,0,7603,4562,7603,1521,17795,,,
61,0,0,0,7378,4427,7378,1476,18576,,,
62,0,0,0,7033,4220,7033,1407,19097,,,
63,0,0,0,6595,3957,6595,1319,19344,,,
64,0,0,0,6096,3658,6096,1219,19320,,,
65,0,0,0,5566,3339,5566,1113,19044,,,
66,0,0,0,5027,3016,5027,1005,18548,,,
67,0,0,0,4502,2701,4502,900,17868,,,
68,0,0,0,4002,2401,4002,800,17046,,,
69,0,0,0,3537,2122,3537,707,16121,,,
70,0,0,0,3112,1867,3112,622,15130,,,
71,0,0,0,2728,1637,2728,546,14104,,,
72,0,0,0,2384,1430,2384,477,13071,,,
73,0,0,0,2079,1247,2079,416,12051,,,
74,0,0,0,1809,1086,1809,362,11060,,,
75,0,0,0,1573,944,1573,315,10112,,,
76,0,0,0,1366,819,1366,273,9212,,,
77,0,0,0,1185,711,1185,237,8368,,,
78,0,0,0,1028,617,1028,206,7581,,,
79,0,0,0,891,535,891,178,6852,,,
80,0,0,0,773,464,773,155,6181,,,
81,0,0,0,670,402,670,134,5566,,,
82,0,0,0,581,348,581,116,5004,,,
83,0,0,0,503,302,503,101,4493,,,
84,0,0,0,437,262,437,87,4029,,,
85,0,0,0,379,227,379,76,3609,,,
86,0,0,0,329,197,329,66,3230,,,
87,0,0,0,286,171,286,57,2888,,,
88,0,0,0,248,149,248,50,2581,,,
89,0,0,0,216,129,216,43,2304,,,
90,0,0,0,188,113,188,38,2056,,,
91,0,0,0,163,98,163,33,1834,,,
92,0,0,0,142,85,142,28,1635,,,
93,0,0,0,124,74,124,25,1457,,,
94,0,0,0,108,65,108,22,1298,,,
95,0,0,0,94,57,94,19,1156,,,
96,0,0,0,82,49,82,16,1029,,,
97,0,0,0,72,43,72,14,916,,,
98,0,0,0,63,38,63,13,815,,,
99,0,0,0,55,33,55,11,725,,,
100,0,0,0,48,29,48,10,645,,,
101,0,0,0,42,25,42,8,574,,,
102,0,0,0,37,22,37,7,510,,,
103,0,0,0,32,19,32,6,454,,,
104,0,0,0,28,17,28,6,403,,,
105,0,0,0,25,15,25,5,358,,,
106,0,0,0,22,13,22,4,319,,,
107,0,0,0,19,11,19,4,283,,,
108,0,0,0,17,10,17,3,252,,,
109,0,0,0,15,9,15,3,223,,,
110,0,0,0,13,8,13,3,199,,,
111,0,0,0,11,7,11,2,176,,,
112,0,0,0,10,6,10,2,157,,,
113,0,0,0,9,5,9,2,139,,,
114,0,0,0,8,5,8,2,124,,,
115,0,0,0,7,4,7,1,110,,,
116,0,0,0,6,4,6,1,98,,,
117,0,0,0,5,3,5,1,87,,,
118,0,0,0,5,3,5,1,77,,,
119,0,0,0,4,2,4,1,68,,,
120,0,0,0,4,2,4,1,61,,,
121,0,0,0,3,2,3,1,54,,,
122,0,0,0,3,2,3,1,48,,,
123,0,0,0,3,2,3,1,42,,,
124,0,0,0,2,1,2,0,38,,,
125,0,0,0,2,1,2,0,33,,,
126,0,0,0,2,1,2,0,30,,,
127,0,0,0,2,1,2,0,26,,,
128,0,0,0,1,1,1,0,23,,,
129,0,0,0,1,1,1,0,21,,,
130,0,0,0,1,1,1,0,18,,,
131,0,0,0,1,1,1,0,16,,,
132,0,0,0,1,0,1,0,15,,,
133,0,0,0,1,0,1,0,13,,,
134,0,0,0,1,0,1,0,11,,,
135,0,0,0,1,0,1,0,10,,,
136,0,0,0,1,0,1,0,9,,,
137,0,0,0,0,0,0,0,8,,,
138,0,0,0,0,0,0,0,7,,,
139,0,0,0,0,0,0,0,6,,,
140,0,0,0,0,0,0,0,6,,,
141,0,0,0,0,0,0,0,5,,,
142,0,0,0,0,0,0,0,4,,,
143,0,0,0,0,0,0,0,4,,,
144,0,0,0,0,0,0,0,3,,,
145,0,0,0,0,0,0,0,3,,,
146,0,0,0,0,0,0,0,3,,,
147,0,0,0,0,0,0,0,2,,,
148,0,0,0,0,0,0,0,2,,,
149,0,0,0,0,0,0,0,2,,,
150,0,0,0,0,0,0,0,2,,,
151,0,0,0,0,0,0,0,1,,,
152,0,0,0,0,0,0,0,1,,,
153,0,0,0,0,0,0,0,1,,,
154,0,0,0,0,0,0,0,1,,,
155,0,0,0,0,0,0,0,1,,,
156,0,0,0,0,0,0,0,1,,,
157,0,0,0,0,0,0,0,1,,,
158,0,0,0,0,0,0,0,1,,,
159,0,0,0,0,0,0,0,1,,,
160,0,0,0,0,0,0,0,1,,,
161,0,0,0,0,0,0,0,0,,,
162,0,0,0,0,0,0,0,0,,,
163,0,0,0,0,0,0,0,0,,,
