0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00
5.00,0.00,0.00,0.00,0.00,0.02,0.01,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00
6.00,0.00,0.00,0.00,0.00,0.03,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00
7.00,0.00,0.00,0.00,0.00,0.04,0.03,0.01,0.01,0.01,0.01,0.02,0.02,0.01,0.00,0.00,0.01,0.01,0.00
8.00,0.00,0.00,0.00,0.00,0.05,0.04,0.01,0.01,0.01,0.01,0.03,0.03,0.01,0.01,0.01,0.01,0.01,0.01
9.00,0.00,0.00,0.00,0.01,0.08,0.06,0.02,0.02,0.02,0.02,0.05,0.04,0.01,0.01,0.01,0.01,0.01,0.01
10.00,0.00,0.00,0.00,0.01,0.11,0.09,0.03,0.03,0.03,0.03,0.07,0.06,0.02,0.01,0.01,0.02,0.02,0.02
11.00,0.01,0.01,0.01,0.01,0.15,0.13,0.04,0.04,0.04,0.04,0.09,0.09,0.02,0.02,0.02,0.02,0.03,0.02
12.00,0.01,0.01,0.01,0.01,0.21,0.18,0.06,0.06,0.06,0.06,0.14,0.13,0.03,0.03,0.03,0.03,0.04,0.03
13.00,0.01,0.01,0.01,0.02,0.30,0.26,0.09,0.08,0.08,0.09,0.20,0.18,0.05,0.04,0.04,0.05,0.05,0.05
14.00,0.02,0.02,0.02,0.03,0.42,0.37,0.12,0.12,0.12,0.13,0.28,0.26,0.07,0.06,0.05,0.07,0.07,0.07
15.00,0.03,0.03,0.03,0.04,0.60,0.53,0.18,0.17,0.17,0.18,0.40,0.37,0.10,0.09,0.08,0.10,0.11,0.10
16.00,0.04,0.04,0.04,0.06,0.85,0.76,0.25,0.24,0.25,0.26,0.57,0.53,0.14,0.12,0.11,0.14,0.15,0.14
17.00,0.06,0.06,0.06,0.08,1.20,1.08,0.36,0.34,0.35,0.36,0.81,0.76,0.20,0.18,0.16,0.20,0.21,0.19
18.00,0.08,0.09,0.09,0.12,1.71,1.53,0.51,0.48,0.50,0.52,1.15,1.08,0.28,0.25,0.23,0.28,0.30,0.28
19.00,0.11,0.13,0.12,0.17,2.41,2.17,0.73,0.69,0.71,0.74,1.64,1.53,0.40,0.36,0.32,0.40,0.43,0.39
20.00,0.16,0.18,0.18,0.24,3.40,3.07,1.03,0.98,1.01,1.05,2.32,2.17,0.57,0.51,0.46,0.57,0.61,0.56
21.00,0.23,0.25,0.25,0.34,4.78,4.32,1.46,1.39,1.43,1.48,3.27,3.07,0.81,0.72,0.65,0.80,0.87,0.79
22.00,0.33,0.36,0.36,0.48,6.69,6.06,2.06,1.96,2.03,2.09,4.60,4.32,1.15,1.02,0.92,1.13,1.23,1.12
23.00,0.46,0.51,0.51,0.67,9.29,8.44,2.90,2.76,2.85,2.94,6.44,6.05,1.62,1.44,1.30,1.60,1.73,1.58
24.00,0.65,0.72,0.72,0.95,12.78,11.64,4.05,3.85,3.98,4.10,8.93,8.41,2.28,2.02,1.82,2.24,2.43,2.22
25.00,0.92,1.02,1.01,1.33,17.34,15.87,5.60,5.34,5.51,5.68,12.26,11.58,3.18,2.83,2.55,3.13,3.38,3.10
26.00,1.28,1.43,1.42,1.85,23.11,21.26,7.67,7.32,7.55,7.77,16.60,15.71,4.40,3.92,3.54,4.33,4.67,4.30
27.00,1.77,1.98,1.98,2.56,30.11,27.88,10.34,9.90,10.19,10.47,22.06,20.96,6.01,5.38,4.86,5.93,6.39,5.89
28.00,2.42,2.73,2.72,3.49,38.13,35.59,13.69,13.14,13.51,13.85,28.63,27.34,8.11,7.28,6.58,7.99,8.60,7.95
29.00,3.27,3.70,3.70,4.70,46.74,44.02,17.69,17.03,17.49,17.89,36.14,34.71,10.73,9.68,8.77,10.57,11.36,10.55
30.00,4.35,4.95,4.97,6.22,55.31,52.62,22.24,21.49,22.03,22.47,44.20,42.72,13.88,12.61,11.45,13.69,14.68,13.69
31.00,5.65,6.49,6.53,8.05,63.26,60.76,27.13,26.32,26.92,27.38,52.28,50.90,17.50,16.01,14.59,17.27,18.48,17.33
32.00,7.18,8.34,8.41,10.18,70.20,68.00,32.07,31.25,31.89,32.33,59.89,58.73,21.46,19.80,18.10,21.20,22.62,21.34
33.00,8.90,10.45,10.59,12.55,76.00,74.15,36.81,36.01,36.66,37.07,66.67,65.83,25.59,23.81,21.86,25.30,26.92,25.56
