0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.00,0.00,0.00,0.00,0.00,2.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.00,0.01,0.01,0.00,0.04,1.72,0.28,0.18,0.15,0.17,0.18,0.15,0.12,0.06,0.03,0.02,0.03,0.02,0.02
3.00,0.02,0.01,0.01,0.07,1.48,0.51,0.32,0.27,0.30,0.33,0.26,0.21,0.11,0.05,0.04,0.06,0.03,0.03
4.00,0.03,0.02,0.02,0.10,1.51,0.76,0.51,0.43,0.47,0.51,0.40,0.32,0.16,0.08,0.06,0.08,0.05,0.04
5.00,0.05,0.03,0.03,0.14,1.72,1.09,0.77,0.66,0.71,0.75,0.58,0.47,0.24,0.12,0.09,0.12,0.07,0.06
6.00,0.07,0.05,0.05,0.19,2.11,1.53,1.14,1.00,1.05,1.08,0.83,0.67,0.35,0.18,0.13,0.17,0.10,0.09
7.00,0.10,0.08,0.07,0.25,2.69,2.15,1.66,1.48,1.54,1.54,1.17,0.95,0.50,0.26,0.19,0.23,0.14,0.13
8.00,0.14,0.12,0.11,0.34,3.54,3.01,2.40,2.16,2.23,2.20,1.66,1.35,0.72,0.37,0.27,0.32,0.20,0.19
9.00,0.20,0.17,0.17,0.47,4.76,4.22,3.45,3.13,3.21,3.13,2.33,1.91,1.02,0.52,0.37,0.45,0.27,0.27
10.00,0.28,0.25,0.24,0.64,6.47,5.93,4.93,4.50,4.58,4.43,3.29,2.70,1.44,0.74,0.53,0.63,0.38,0.38
11.00,0.40,0.37,0.36,0.89,8.90,8.34,7.01,6.43,6.53,6.27,4.63,3.80,2.04,1.05,0.74,0.88,0.54,0.53
12.00,0.56,0.53,0.51,1.24,12.33,11.73,9.95,9.17,9.28,8.87,6.52,5.36,2.87,1.48,1.05,1.24,0.75,0.75
13.00,0.79,0.77,0.74,1.72,17.15,16.51,14.09,13.02,13.15,12.52,9.18,7.55,4.06,2.10,1.47,1.73,1.05,1.06
14.00,1.12,1.10,1.06,2.41,23.96,23.24,19.94,18.46,18.62,17.68,12.93,10.64,5.72,2.96,2.07,2.43,1.48,1.49
15.00,1.58,1.56,1.50,3.39,33.54,32.72,28.17,26.12,26.32,24.94,18.20,14.99,8.06,4.17,2.91,3.42,2.08,2.10
16.00,2.22,2.22,2.13,4.75,47.02,46.06,39.75,36.91,37.16,35.16,25.63,21.11,11.36,5.88,4.10,4.80,2.92,2.96
17.00,3.13,3.15,3.03,6.68,65.99,64.83,56.06,52.09,52.42,49.54,36.08,29.72,16.00,8.28,5.78,6.75,4.10,4.16
18.00,4.42,4.46,4.28,9.40,92.63,91.21,78.97,73.43,73.86,69.74,50.77,41.82,22.53,11.66,8.13,9.49,5.77,5.86
19.00,6.22,6.30,6.05,13.22,130.01,128.22,111.11,103.37,103.93,98.07,71.40,58.83,31.71,16.42,11.44,13.34,8.11,8.24
20.00,8.76,8.90,8.54,18.59,182.32,180.04,156.10,145.28,146.02,137.73,100.31,82.67,44.59,23.09,16.08,18.75,11.39,11.59
21.00,12.32,12.54,12.03,26.13,255.30,252.37,218.89,203.76,204.75,193.07,140.72,116.03,62.62,32.44,22.59,26.32,15.99,16.28
22.00,17.33,17.65,16.94,36.70,356.69,352.91,306.11,284.99,286.30,269.92,197.01,162.56,87.81,45.51,31.69,36.89,22.41,22.83
23.00,24.32,24.81,23.80,51.47,496.65,491.82,426.54,397.12,398.82,375.97,275.03,227.15,122.84,63.70,44.37,51.61,31.35,31.94
24.00,34.08,34.78,33.36,72.04,688.17,682.15,591.36,550.54,552.68,521.04,382.36,316.24,171.30,88.88,61.94,71.98,43.72,44.57
