date,a,b1,b2,betaN,betaV,sigmaN1,sigmaN2,sigmaV1,sigmaV2,alpha,C,file_path
2022-05-06 17:07:16.178291,0.2,0.8,0.2,0.5,0.3,4.0,3.0,5.0,4.0,2.6,0.002,E:\GraAcademic\age_contact_resource_allocation_seaiq\data\output_source\China_Shanghai_all_states_numbers_85_baseline.csv
2022-05-06 17:08:29.875508,0.2,0.8,0.2,0.5,0.3,4.0,3.0,5.0,4.0,2.6,0.051941198528117516,E:\GraAcademic\age_contact_resource_allocation_seaiq\data\output_source\China_Shanghai_all_states_numbers_85_case_based_60000.csv
2022-05-06 17:10:08.700079,0.2,0.8,0.2,0.5,0.3,4.0,3.0,5.0,4.0,2.6,0.03444751109586491,E:\GraAcademic\age_contact_resource_allocation_seaiq\data\output_source\China_Shanghai_all_states_numbers_85_case_based_40000.csv
2022-05-06 17:10:47.725888,0.2,0.8,0.2,0.5,0.3,4.0,3.0,5.0,4.0,2.6,0.017150361592160917,E:\GraAcademic\age_contact_resource_allocation_seaiq\data\output_source\China_Shanghai_all_states_numbers_85_case_based_20000.csv
2022-05-06 17:16:30.232226,0.0,0.8,0.2,0.5,0.3,4.0,3.0,5.0,4.0,2.6,0.002,E:\GraAcademic\age_contact_resource_allocation_seaiq\data\output_source\China_Shanghai_all_states_numbers_85_baseline_a_=0.0000.csv
2022-05-06 17:16:48.989373,0.1,0.8,0.2,0.5,0.3,4.0,3.0,5.0,4.0,2.6,0.002,E:\GraAcademic\age_contact_resource_allocation_seaiq\data\output_source\China_Shanghai_all_states_numbers_85_baseline_a_=0.1000.csv
2022-05-06 17:17:07.949636,0.2,0.8,0.2,0.5,0.3,4.0,3.0,5.0,4.0,2.6,0.002,E:\GraAcademic\age_contact_resource_allocation_seaiq\data\output_source\China_Shanghai_all_states_numbers_85_baseline_a_=0.2000.csv
2022-05-06 17:17:27.340759,0.3,0.8,0.2,0.5,0.3,4.0,3.0,5.0,4.0,2.6,0.002,E:\GraAcademic\age_contact_resource_allocation_seaiq\data\output_source\China_Shanghai_all_states_numbers_85_baseline_a_=0.3000.csv
2022-05-06 17:17:45.832251,0.4,0.8,0.2,0.5,0.3,4.0,3.0,5.0,4.0,2.6,0.002,E:\GraAcademic\age_contact_resource_allocation_seaiq\data\output_source\China_Shanghai_all_states_numbers_85_baseline_a_=0.4000.csv
2022-05-06 17:18:05.006947,0.5,0.8,0.2,0.5,0.3,4.0,3.0,5.0,4.0,2.6,0.002,E:\GraAcademic\age_contact_resource_allocation_seaiq\data\output_source\China_Shanghai_all_states_numbers_85_baseline_a_=0.5000.csv
2022-05-06 17:18:24.571601,0.6,0.8,0.2,0.5,0.3,4.0,3.0,5.0,4.0,2.6,0.002,E:\GraAcademic\age_contact_resource_allocation_seaiq\data\output_source\China_Shanghai_all_states_numbers_85_baseline_a_=0.6000.csv
2022-05-06 17:18:43.787187,0.7,0.8,0.2,0.5,0.3,4.0,3.0,5.0,4.0,2.6,0.002,E:\GraAcademic\age_contact_resource_allocation_seaiq\data\output_source\China_Shanghai_all_states_numbers_85_baseline_a_=0.7000.csv
2022-05-06 17:19:03.286323,0.8,0.8,0.2,0.5,0.3,4.0,3.0,5.0,4.0,2.6,0.002,E:\GraAcademic\age_contact_resource_allocation_seaiq\data\output_source\China_Shanghai_all_states_numbers_85_baseline_a_=0.8000.csv
2022-05-06 17:19:22.811400,0.9,0.8,0.2,0.5,0.3,4.0,3.0,5.0,4.0,2.6,0.002,E:\GraAcademic\age_contact_resource_allocation_seaiq\data\output_source\China_Shanghai_all_states_numbers_85_baseline_a_=0.9000.csv
